epoch,content,speaker,environment,excitation,fidelity
233,0.01,0.03,0.07,0.012374180504948613,0.003093545126237153
234,0.01,0.03,0.07,0.009832080206443015,0.002458020051610754
235,0.01,0.03,0.07,0.0075649711574556,0.0018912427893639
236,0.01,0.03,0.07,0.0056286771068760014,0.0014071692767190004
237,0.01,0.03,0.07,0.004070876040421012,0.001017719010105253
238,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
239,0.01,0.03,0.07,0.002233921528692385,0.0005584803821730962
240,0.01,0.03,0.07,0.002,0.0005
241,0.01,0.03,0.07,0.0022339215286923827,0.0005584803821730957
242,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
243,0.01,0.03,0.07,0.00407087604042101,0.0010177190101052524
244,0.01,0.03,0.07,0.005628677106875999,0.0014071692767189997
245,0.01,0.03,0.07,0.007564971157455596,0.001891242789363899
246,0.01,0.03,0.07,0.00983208020644301,0.0024580200516107526
247,0.01,0.03,0.07,0.012374180504948611,0.0030935451262371527
248,0.01,0.03,0.07,0.015128677106876,0.003782169276719
249,0.01,0.03,0.07,0.018027745164235612,0.004506936291058903
250,0.01,0.03,0.07,0.020999999999999998,0.0052499999999999995
251,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
252,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
253,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
254,0.01,0.03,0.07,0.03216791979355699,0.008041979948389247
255,0.01,0.03,0.07,0.0344350288425444,0.0086087572106361
256,0.01,0.03,0.07,0.036371322893124,0.009092830723281
257,0.01,0.03,0.07,0.03792912395957899,0.009482280989894747
258,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
259,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
260,0.01,0.03,0.07,0.04,0.01
261,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
262,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
263,0.01,0.03,0.07,0.037929123959578995,0.009482280989894749
264,0.01,0.03,0.07,0.036371322893124,0.009092830723281
265,0.01,0.03,0.07,0.03443502884254441,0.008608757210636102
266,0.01,0.03,0.07,0.032167919793556994,0.008041979948389249
267,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
268,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
269,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
270,0.01,0.03,0.07,0.021000000000000005,0.005250000000000001
271,0.01,0.03,0.07,0.018027745164235616,0.004506936291058904
272,0.01,0.03,0.07,0.015128677106876001,0.0037821692767190003
273,0.01,0.03,0.07,0.012374180504948613,0.003093545126237153
274,0.01,0.03,0.07,0.009832080206443015,0.002458020051610754
275,0.01,0.03,0.07,0.0075649711574556,0.0018912427893639
276,0.01,0.03,0.07,0.0056286771068760014,0.0014071692767190004
277,0.01,0.03,0.07,0.004070876040421012,0.001017719010105253
278,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
279,0.01,0.03,0.07,0.002233921528692385,0.0005584803821730962
280,0.01,0.03,0.07,0.002,0.0005
281,0.01,0.03,0.07,0.0022339215286923827,0.0005584803821730957
282,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
283,0.01,0.03,0.07,0.00407087604042101,0.0010177190101052524
284,0.01,0.03,0.07,0.005628677106875999,0.0014071692767189997
285,0.01,0.03,0.07,0.007564971157455596,0.001891242789363899
286,0.01,0.03,0.07,0.00983208020644301,0.0024580200516107526
287,0.01,0.03,0.07,0.012374180504948611,0.0030935451262371527
288,0.01,0.03,0.07,0.015128677106876,0.003782169276719
289,0.01,0.03,0.07,0.018027745164235612,0.004506936291058903
290,0.01,0.03,0.07,0.020999999999999998,0.0052499999999999995
291,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
292,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
293,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
294,0.01,0.03,0.07,0.03216791979355699,0.008041979948389247
295,0.01,0.03,0.07,0.0344350288425444,0.0086087572106361
296,0.01,0.03,0.07,0.036371322893124,0.009092830723281
297,0.01,0.03,0.07,0.03792912395957899,0.009482280989894747
298,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
299,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
300,0.01,0.03,0.07,0.04,0.01
